file,n_channels,channel_list
chb16/chb16_01.edf,28,"FP1-F7, F7-T7, T7-P7, P7-O1, --0, FP1-F3, F3-C3, C3-P3, P3-O1, --1, FZ-CZ, CZ-PZ, --2, FP2-F4, F4-C4, C4-P4, P4-O2, --3, FP2-F8, F8-T8, T8-P8-0, P8-O2, --4, P7-T7, T7-FT9, FT9-FT10, FT10-T8, T8-P8-1"
chb16/chb16_02.edf,28,"FP1-F7, F7-T7, T7-P7, P7-O1, --0, FP1-F3, F3-C3, C3-P3, P3-O1, --1, FZ-CZ, CZ-PZ, --2, FP2-F4, F4-C4, C4-P4, P4-O2, --3, FP2-F8, F8-T8, T8-P8-0, P8-O2, --4, P7-T7, T7-FT9, FT9-FT10, FT10-T8, T8-P8-1"
chb16/chb16_03.edf,28,"FP1-F7, F7-T7, T7-P7, P7-O1, --0, FP1-F3, F3-C3, C3-P3, P3-O1, --1, FZ-CZ, CZ-PZ, --2, FP2-F4, F4-C4, C4-P4, P4-O2, --3, FP2-F8, F8-T8, T8-P8-0, P8-O2, --4, P7-T7, T7-FT9, FT9-FT10, FT10-T8, T8-P8-1"
chb16/chb16_04.edf,28,"FP1-F7, F7-T7, T7-P7, P7-O1, --0, FP1-F3, F3-C3, C3-P3, P3-O1, --1, FZ-CZ, CZ-PZ, --2, FP2-F4, F4-C4, C4-P4, P4-O2, --3, FP2-F8, F8-T8, T8-P8-0, P8-O2, --4, P7-T7, T7-FT9, FT9-FT10, FT10-T8, T8-P8-1"
chb16/chb16_05.edf,28,"FP1-F7, F7-T7, T7-P7, P7-O1, --0, FP1-F3, F3-C3, C3-P3, P3-O1, --1, FZ-CZ, CZ-PZ, --2, FP2-F4, F4-C4, C4-P4, P4-O2, --3, FP2-F8, F8-T8, T8-P8-0, P8-O2, --4, P7-T7, T7-FT9, FT9-FT10, FT10-T8, T8-P8-1"
chb16/chb16_06.edf,28,"FP1-F7, F7-T7, T7-P7, P7-O1, --0, FP1-F3, F3-C3, C3-P3, P3-O1, --1, FZ-CZ, CZ-PZ, --2, FP2-F4, F4-C4, C4-P4, P4-O2, --3, FP2-F8, F8-T8, T8-P8-0, P8-O2, --4, P7-T7, T7-FT9, FT9-FT10, FT10-T8, T8-P8-1"
chb16/chb16_07.edf,28,"FP1-F7, F7-T7, T7-P7, P7-O1, --0, FP1-F3, F3-C3, C3-P3, P3-O1, --1, FZ-CZ, CZ-PZ, --2, FP2-F4, F4-C4, C4-P4, P4-O2, --3, FP2-F8, F8-T8, T8-P8-0, P8-O2, --4, P7-T7, T7-FT9, FT9-FT10, FT10-T8, T8-P8-1"
chb16/chb16_08.edf,28,"FP1-F7, F7-T7, T7-P7, P7-O1, --0, FP1-F3, F3-C3, C3-P3, P3-O1, --1, FZ-CZ, CZ-PZ, --2, FP2-F4, F4-C4, C4-P4, P4-O2, --3, FP2-F8, F8-T8, T8-P8-0, P8-O2, --4, P7-T7, T7-FT9, FT9-FT10, FT10-T8, T8-P8-1"
chb16/chb16_09.edf,28,"FP1-F7, F7-T7, T7-P7, P7-O1, --0, FP1-F3, F3-C3, C3-P3, P3-O1, --1, FZ-CZ, CZ-PZ, --2, FP2-F4, F4-C4, C4-P4, P4-O2, --3, FP2-F8, F8-T8, T8-P8-0, P8-O2, --4, P7-T7, T7-FT9, FT9-FT10, FT10-T8, T8-P8-1"
chb16/chb16_10.edf,28,"FP1-F7, F7-T7, T7-P7, P7-O1, --0, FP1-F3, F3-C3, C3-P3, P3-O1, --1, FZ-CZ, CZ-PZ, --2, FP2-F4, F4-C4, C4-P4, P4-O2, --3, FP2-F8, F8-T8, T8-P8-0, P8-O2, --4, P7-T7, T7-FT9, FT9-FT10, FT10-T8, T8-P8-1"
